# column 1: model
# column 2: total dust mass
t11_p0_q0_oa70_R10_Mcl0.97    2632.74 Msun
t11_p0_q0_oa70_R20_Mcl0.97    9983.08 Msun
t11_p0_q0_oa70_R30_Mcl0.97    22077.9 Msun
t11_p0_q0_oa80_R10_Mcl0.97    2761.32 Msun
t11_p0_q0_oa80_R20_Mcl0.97    10470.3 Msun
t11_p0_q0_oa80_R30_Mcl0.97    23156.1 Msun
t11_p0_q1.5_oa10_R10_Mcl0.97    420.263 Msun
t11_p0_q1.5_oa10_R20_Mcl0.97    1591.86 Msun
t11_p0_q1.5_oa10_R30_Mcl0.97    3521.52 Msun
t11_p0_q1.5_oa20_R10_Mcl0.97    744.067 Msun
t11_p0_q1.5_oa20_R20_Mcl0.97    2820.03 Msun
t11_p0_q1.5_oa20_R30_Mcl0.97    6237.12 Msun
t11_p0_q1.5_oa30_R10_Mcl0.97    982.39 Msun
t11_p0_q1.5_oa30_R20_Mcl0.97    3724.09 Msun
t11_p0_q1.5_oa30_R30_Mcl0.97    8236.39 Msun
t11_p0_q1.5_oa40_R10_Mcl0.97    1154.24 Msun
t11_p0_q1.5_oa40_R20_Mcl0.97    4375.93 Msun
t11_p0_q1.5_oa40_R30_Mcl0.97    9677.82 Msun
t11_p0_q1.5_oa50_R10_Mcl0.97    1275.6 Msun
t11_p0_q1.5_oa50_R20_Mcl0.97    4836.11 Msun
t11_p0_q1.5_oa50_R30_Mcl0.97    10695.6 Msun
t11_p0_q1.5_oa60_R10_Mcl0.97    1358.74 Msun
t11_p0_q1.5_oa60_R20_Mcl0.97    5151.95 Msun
t11_p0_q1.5_oa60_R30_Mcl0.97    11393.5 Msun
t11_p0_q1.5_oa70_R10_Mcl0.97    1412.82 Msun
t11_p0_q1.5_oa70_R20_Mcl0.97    5356.89 Msun
t11_p0_q1.5_oa70_R30_Mcl0.97    11847.7 Msun
t11_p0_q1.5_oa80_R10_Mcl0.97    1443.22 Msun
t11_p0_q1.5_oa80_R20_Mcl0.97    5472.2 Msun
t11_p0_q1.5_oa80_R30_Mcl0.97    12103.4 Msun
t11_p0_q1_oa10_R10_Mcl0.97    437.846 Msun
t11_p0_q1_oa10_R20_Mcl0.97    1658.32 Msun
t11_p0_q1_oa10_R30_Mcl0.97    3668.58 Msun
t11_p0_q1_oa20_R10_Mcl0.97    804.959 Msun
t11_p0_q1_oa20_R20_Mcl0.97    3050.71 Msun
t11_p0_q1_oa20_R30_Mcl0.97    6747.58 Msun
t11_p0_q1_oa30_R10_Mcl0.97    1098.11 Msun
